name,r_p,gain,cover_call,quarter,down,dist,line,line_type,play_note,action,opponent
"18 01 HARVARD DEF vs USD OFF NEW, Play 048",P,19,FLANK,3,3,2,PRO WING,2X1,PAP,KICK,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 049",R,4,DOME,3,1,10,DUAL,2X2,ZONE,BARK,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 050",P,0,PYTHON,3,2,6,DUAL,2X2,PAP,ZONE GRIND FS,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 051",P,1,SALUTE,3,3,6,DEUCE,2X2,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 052",P,37,TORO,3,1,10,DUPE,2X2,NAKED,OZ GRIND,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 053",R,0,TORO,3,1,10,PRO,3X1,POWER,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 054",R,13,PYTHON,3,2,10,TWINS,3X1 NUB,ZONE,READ LB,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 055",R,3,FREEDOM,3,5,3,TRIPS,3X1,DRAW,QB,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 056",P,0,DOME,4,1,10,TRIPS,3X1,DB,TOKEN,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 057",P,0,TORO,4,2,10,TWINS,3X1 NUB,PAP,ZONE GRAB FS,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 058",P,0,SALUTE,4,3,10,TREY,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 059",P,30,TORO,4,1,10,PRO,BUNCH,GADGET,FLEA FLICKER,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 060",P,7,DOME,4,1,10,PRO,2X1,QP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 061",P,6,TORO,4,2,3,DEUCE,2X2,PAP,GAP READ,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 062",P,0,TORO,4,1,10,PRO,2X1,PAP,ZONE LEAD GRIND FS,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 063",R,0,FREEDOM,4,2,10,TRIPS,3X1,STRETCH,TOSS,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 064",P,0,BLADE,4,3,10,TRIPS,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 065",P,0,COKE,4,4,10,DEUCE,2X2,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 066",P,3,RATTLER,4,1,10,TRIPS,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 067",P,11,FREEDOM,4,2,7,DEUCE,2X2,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 068",P,7,FREEDOM,4,1,10,TRIPS,3X1,QP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 069",P,0,BLADE,4,2,3,TRIPS,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 070",R,7,SALUTE,4,3,3,TRIPS,3X1,OZ,READ,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 071",P,3,BIFF,4,1,10,PRO WING,2X1,PAP,KICK,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 072",P,0,7,4,2,7,DOS,2X2,ROLL,SPEED,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 073",P,0,BLADE,4,3,7,DOUBLES,2X2,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 074",P,0,WEASEL,4,4,7,TRIPS,3X1,DB,NA,University of San Diego
"18 03 HARVARD DEF vs URI OFF NEW, Play 001",R,3,HILL,1,1,10,DOS,2X2,STRETCH,QB LEAD,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 002",R,4,SPACE,1,2,7,TRIPS,3X1,ZONE,GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 003",P,3,SALUTE,1,3,3,DOUBLES,2X2,QP,TOKEN,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 004",R,1,HILL,1,1,10,OPEN,2X2,ZONE,DOUBLE LEAD,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 005",R,1,DOME,1,2,9,DOUBLES,2X2,ZONE,READ,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 006",P,-8,SALUTE,1,3,8,DOUBLES,2X2,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 007",R,3,HILL,1,1,10,DOS,2X2,STRETCH,READ LB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 008",P,0,DOME,1,2,7,SPREAD,SPREAD,PAP,ZONE READ BUBBLE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 009",P,-2,BUC,1,3,7,TREO,3X1 NUB,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 010",R,-4,STRIPE,1,1,10,DICE,2X2,BASH,ZONE QB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 011",P,0,HILL,1,2,14,TRIPS,3X1,PAP,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 012",P,42,LINCOLN,1,3,14,DOUBLES,2X2,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 013",P,0,12,1,3,19,TREO,3X1 NUB,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 014",R,5,HILL,1,1,10,TWINS,2X2 NUB,STRETCH,READ,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 015",R,10,HILL,1,2,5,TWINS,3X1 NUB,ZONE,GRAB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 016",R,0,SPACE,1,1,10,DICE,2X2,ZONE,BLIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 018",P,14,SPACE,2,2,15,DEUCE,2X2,PAP,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 020",R,2,HILL,2,3,1,TWINS,3X1 NUB,ZONE,GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 021",R,0,STRIPE,2,1,10,DEUCE,2X2,ZONE,SPLIT,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 022",P,0,HILL,2,1,15,TREO,3X1 NUB,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 023",P,12,HILL,2,2,15,DOS,2X2,NAKED,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 024",P,4,STRIPE,2,3,3,DEUCE,2X2,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 025",P,37,HILL,2,1,10,DOS,2X2,PAP,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 026",R,0,HILL,2,1,10,TRIPS,3X1,ZONE,GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 027",P,45,HILL,2,2,10,OPEN,2X2,PAP,ZONE BOW BUBBLE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 028",R,4,HILL,2,1,10,TWINS,3X1 NUB,ZONE,GRAB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 029",P,15,STRIPE,2,2,6,TRIPS,3X1,PAP,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 030",R,0,SPACE,2,1,10,DICE,2X2,OZ,READ,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 031",P,10,SPACE,2,2,10,TRIPS,3X1,PAP,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 032",R,0,HILL,2,1,10,DOS,2X2,STRETCH,READ LB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 033",P,6,SALUTE,2,2,10,DOUBLES,2X2,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 034",P,9,SMACK,2,3,4,TREY,3X1,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 035",R,6,HILL,2,1,10,TWINS,2X2 NUB,ZONE,SPLIT,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 036",R,8,HILL,2,2,4,TRIPS,3X1,ZONE,GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 037",R,5,SPACE,2,1,10,TRIPS,3X1,ZONE,GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 038",R,4,HILL,2,2,5,TWINS,2X2 NUB,STRETCH,READ,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 039",R,0,HILL,2,3,1,OPEN,2X2,ZONE,DOUBLE LEAD,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 041",R,0,HILL,3,1,10,DEUCE,2X2,POWER,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 042",P,0,STRIPE,3,2,10,TRIPS,3X1,PAP,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 043",P,0,SALUTE,3,3,10,DOUBLES,2X2,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 044",R,4,SPACE,3,1,10,TRIPS,3X1,ZONE,GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 045",R,2,HILL,3,2,6,DOS,2X2,BASH,ZONE QB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 046",P,-9,STRIPE,3,3,4,TREY,3X1,DB,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 047",R,4,HILL,4,1,10,TWINS,3X1 NUB,ZONE,GRAB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 048",P,0,HILL,4,2,6,TWINS,3X1 NUB,PAP,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 049",P,4,SWITCH BLADE,4,3,6,DOUBLES,2X2,QP,TOKEN,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 050",R,24,STRIPE,4,1,10,TRIPS,3X1,ZONE,GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 051",R,0,HILL,4,1,10,TWINS,2X2 NUB,ZONE,SPLIT,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 052",R,4,HILL,4,2,10,OPEN,2X2,ZONE,BOW,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 053",P,-13,SMACK,4,3,6,TRIPS,3X1,PAP,OZ GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 054",R,1,HILL,4,1,10,DEUCE,2X2,POWER,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 055",R,1,HILL,4,2,9,DOS,2X2,STRETCH,READ LB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 056",P,0,SALUTE,4,3,8,TRIPS,3X1,QP,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 057",R,2,HILL,4,1,10,TWINS,3X1 NUB,ZONE,GRAB,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 058",P,0,HILL,4,2,23,OPEN,2X2,PAP,ZONE BOW BUBBLE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 059",R,1,HILL,4,1,10,TWINS,2X2 NUB,STRETCH,READ,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 060",R,1,HILL,4,1,20,TWINS,3X1 NUB,ZONE,GRIND,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 061",R,-3,HILL,4,2,19,TWINS,2X2 NUB,ZONE,SPLIT,University of Rhode Island
