name,r_p,gain,cover_call,opponent
"18 01 HARVARD DEF vs USD OFF NEW, Play 073",P,0,BLADE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 074",P,0,WEASEL,University of San Diego
"18 03 HARVARD DEF vs URI OFF NEW, Play 001",R,3,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 002",R,4,SPACE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 003",P,3,SALUTE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 004",R,1,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 005",R,1,DOME,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 006",P,-8,SALUTE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 007",R,3,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 008",P,0,DOME,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 009",P,-2,BUC,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 010",R,-4,STRIPE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 011",P,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 012",P,42,LINCOLN,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 013",P,0,12,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 014",R,5,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 015",R,10,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 016",R,0,SPACE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 018",P,14,SPACE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 020",R,2,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 021",R,0,STRIPE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 022",P,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 023",P,12,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 024",P,4,STRIPE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 025",P,37,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 026",R,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 027",P,45,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 028",R,4,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 029",P,15,STRIPE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 030",R,0,SPACE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 031",P,10,SPACE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 032",R,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 033",P,6,SALUTE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 034",P,9,SMACK,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 035",R,6,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 036",R,8,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 037",R,5,SPACE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 038",R,4,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 039",R,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 041",R,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 042",P,0,STRIPE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 043",P,0,SALUTE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 044",R,4,SPACE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 045",R,2,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 046",P,-9,STRIPE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 047",R,4,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 048",P,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 049",P,4,SWITCH BLADE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 050",R,24,STRIPE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 051",R,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 052",R,4,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 053",P,-13,SMACK,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 054",R,1,HILL,University of Rhode Island
